planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
4400727,1173,802,642,12,27,42
4400728,411,359,292,3,22,30
4400729,393,361,297,6,17,15
4400830,997,949,767,10,21,27
4400831,236,227,191,2,6,3
4400832,821,777,623,10,15,29
4400833,579,534,451,5,26,19
4400834,365,334,276,4,13,16
4400835,918,871,741,9,21,26
4500936,709,652,521,4,20,36
4500937,1068,980,801,16,38,50
4500938,1011,922,764,11,43,46
4500939,854,785,665,8,20,49
4501040,657,598,479,4,17,42
4501041,898,761,627,9,76,61
4501042,3013,2735,2020,16,179,99
4501043,1098,979,803,18,55,64
4501044,719,629,524,8,66,24
4501045,1268,1105,909,14,100,63
4501146,592,540,430,6,27,25
4501147,625,560,442,3,17,48
4501148,811,415,331,5,20,37
4501149,1054,931,782,13,49,51
4501150,625,583,456,9,21,21
4501151,614,570,482,4,22,22
4501152,765,713,575,7,31,21
4501153,887,784,639,12,51,52
5100101,969,868,715,13,30,26
5100102,537,510,435,7,14,13
5100103,613,576,459,7,18,19
5100104,972,895,725,12,50,27
5100105,784,732,614,7,13,39
5100206,970,488,391,7,22,15
5100207,201,193,166,4,3,5
5100208,1431,1326,1094,17,45,59
5100209,1289,1199,994,15,39,51
5100210,890,832,685,12,25,33
5100211,832,791,670,6,17,23
5100312,443,414,328,8,8,20
5100313,1263,1189,1013,17,35,38
5100314,1060,704,567,7,44,38
5100315,760,710,586,9,26,24
5100316,2279,2139,1682,17,61,78
5100317,788,700,533,6,43,45
5200418,209,194,162,2,8,7
5200419,187,172,137,4,7,8
5200420,590,538,448,8,36,16
5200421,494,462,384,7,24,8
5200422,125,114,91,1,3,8
5200423,1019,960,796,9,25,34
